scenario,seed,fitness,distance,travel_time,runtime,routes
Normal,1,415.21051493778697,1932.1941857651207,415.21051493778697,0.004925800021737814,"[[0, 4, 2, 0], [0, 3, 1, 0]]"
Normal,2,415.21051493778697,1932.1941857651207,415.21051493778697,0.004496400011703372,"[[0, 2, 4, 0], [0, 1, 3, 0]]"
Normal,3,415.21051493778697,1932.1941857651207,415.21051493778697,0.00508339999942109,"[[0, 4, 2, 0], [0, 3, 1, 0]]"
Normal,4,415.21051493778697,1932.1941857651207,415.21051493778697,0.0062753999955020845,"[[0, 2, 4, 0], [0, 1, 3, 0]]"
Normal,5,415.21051493778697,1932.1941857651207,415.21051493778697,0.0047061999794095755,"[[0, 4, 2, 0], [0, 3, 1, 0]]"
Peak Traffic,1,593.1578784825529,1932.1941857651207,593.1578784825529,0.0053718999843113124,"[[0, 4, 2, 0], [0, 3, 1, 0]]"
Peak Traffic,2,593.1578784825529,1932.1941857651207,593.1578784825529,0.00966139999218285,"[[0, 4, 2, 0], [0, 3, 1, 0]]"
Peak Traffic,3,593.1578784825529,1932.1941857651207,593.1578784825529,0.00897710002027452,"[[0, 4, 2, 0], [0, 3, 1, 0]]"
Peak Traffic,4,593.1578784825529,1932.1941857651207,593.1578784825529,0.011542899999767542,"[[0, 2, 4, 0], [0, 3, 1, 0]]"
Peak Traffic,5,593.1578784825529,1932.1941857651207,593.1578784825529,0.014870300015900284,"[[0, 4, 2, 0], [0, 3, 1, 0]]"
Single Incident,1,417.512782588371,1932.1941857651207,417.512782588371,0.004466000013053417,"[[0, 4, 2, 0], [0, 1, 3, 0]]"
Single Incident,2,417.512782588371,1932.1941857651207,417.512782588371,0.004392300033941865,"[[0, 2, 4, 0], [0, 1, 3, 0]]"
Single Incident,3,417.512782588371,1932.1941857651207,417.512782588371,0.004458000010345131,"[[0, 2, 4, 0], [0, 1, 3, 0]]"
Single Incident,4,417.512782588371,1932.1941857651207,417.512782588371,0.004454500041902065,"[[0, 2, 4, 0], [0, 1, 3, 0]]"
Single Incident,5,417.512782588371,1932.1941857651207,417.512782588371,0.004392699978780001,"[[0, 4, 2, 0], [0, 1, 3, 0]]"
Multiple Incidents,1,485.1474308620685,1932.1941857651207,485.1474308620685,0.009158000000752509,"[[0, 4, 2, 0], [0, 1, 3, 0]]"
Multiple Incidents,2,485.1474308620685,1932.1941857651207,485.1474308620685,0.007983799965586513,"[[0, 2, 4, 0], [0, 1, 3, 0]]"
Multiple Incidents,3,485.1474308620685,1932.1941857651207,485.1474308620685,0.009847600013017654,"[[0, 2, 4, 0], [0, 1, 3, 0]]"
Multiple Incidents,4,485.1474308620685,1932.1941857651207,485.1474308620685,0.013436099980026484,"[[0, 2, 4, 0], [0, 1, 3, 0]]"
Multiple Incidents,5,485.1474308620685,1932.1941857651207,485.1474308620685,0.01016400003572926,"[[0, 4, 2, 0], [0, 1, 3, 0]]"
